FILE_NAME: EC001112.CSV
ROM_CODE: 9A3B2000027AF621
DEVICE_NAME: DS1921Z
UPLOAD_TIME: 2017-06-20T09:34:24
MAC_ADDRESS: 00:04:A3:C1:42:3F
TEMPERATURE_UNITS: Centigrade

GPSRAM_0-15: Bog Trail

REGS_16:
RTC_Time: 2017-06-20T09:34:42
Alarm_Time: 00:00:00
Alarm_MaskDayOfWeek: 0
Alarm_MaskHrs: 0
Alarm_MaskMin: 0
Alarm_MaskSec: 0
Temp_LowAlarmThreshold: 0.000
Temp_HighAlarmThreshold: 0.000
Temp_LowAlarmState: FALSE
Temp_HighAlarmState: TRUE
Mission_InProgress: FALSE
Mission_RolloverEnabled: FALSE
Mission_StartDelay: 0 Min
Mission_TimeBetweenConversions: 10 Min
Mission_TimeStamp: 2017-06-02T15:04:00
Mission_SamplesCounter: 2560
Mission_RolloverOccurred: No
Device_SamplesCounter: 89415
Memory_Clear: FALSE
Oscillator_Enabled: TRUE

ALARMS_17-19:
High_Alarm_Time, High_Alarm_Duration
2017-06-02T15:14:00,17T17:00:00

HISTOGRAM_64-67:
Histogram_NumberOfBins: 64
Histogram_HighestBinValue: 1108
Histogram_LowBinTemp: -5.5
Histogram_HighBinTemp: 26.0
Count,Temperature
2017-06-05T06:04:00,10.5
2017-06-05T06:14:00,10.5
2017-06-05T06:24:00,10.5
2017-06-05T06:34:00,10.5
2017-06-05T06:44:00,10.5
2017-06-05T06:54:00,10.5
2017-06-05T07:04:00,10.5
2017-06-05T07:14:00,10.5
2017-06-05T07:24:00,10.5
2017-06-05T07:34:00,10.5
2017-06-05T07:44:00,10.5
2017-06-05T07:54:00,10.5
2017-06-05T08:04:00,10.5
2017-06-05T08:14:00,10.5
2017-06-05T08:24:00,10.5
2017-06-05T08:34:00,10.5
2017-06-05T08:44:00,10.5
2017-06-05T08:54:00,10.5
2017-06-05T09:04:00,10.5
2017-06-05T09:14:00,10.5
2017-06-05T09:24:00,10.5
2017-06-05T09:34:00,10.5
2017-06-05T09:44:00,10.5
2017-06-05T09:54:00,10.5
2017-06-05T10:04:00,10.5
2017-06-05T10:14:00,10.5
2017-06-05T10:24:00,10.5
2017-06-05T10:34:00,10.5
2017-06-05T10:44:00,10.5
2017-06-05T10:54:00,10.5
2017-06-05T11:04:00,10.5
2017-06-05T11:14:00,10.5
2017-06-05T11:24:00,10.5
2017-06-05T11:34:00,10.5
2017-06-05T11:44:00,10.5
2017-06-05T11:54:00,10.5
2017-06-05T12:04:00,10.5
2017-06-05T12:14:00,10.5
2017-06-05T12:24:00,10.5
2017-06-05T12:34:00,10.5
2017-06-05T12:44:00,10.5
2017-06-05T12:54:00,10.5
2017-06-05T13:04:00,10.5
2017-06-05T13:14:00,10.5
2017-06-05T13:24:00,10.5
2017-06-05T13:34:00,10.5
2017-06-05T13:44:00,10.5
2017-06-05T13:54:00,10.5
2017-06-05T14:04:00,10.5
2017-06-05T14:14:00,10.5
2017-06-05T14:24:00,10.5
2017-06-05T14:34:00,10.5
2017-06-05T14:44:00,10.5
2017-06-05T14:54:00,10.5
2017-06-05T15:04:00,10.5
2017-06-05T15:14:00,10.5
2017-06-05T15:24:00,10.5
2017-06-05T15:34:00,10.5
2017-06-05T15:44:00,10.5
2017-06-05T15:54:00,10.5
2017-06-05T16:04:00,10.5
2017-06-05T16:14:00,10.5
2017-06-05T16:24:00,10.5
2017-06-05T16:34:00,10.5
2017-06-05T16:44:00,10.5
2017-06-05T16:54:00,10.5
2017-06-05T17:04:00,10.5
2017-06-05T17:14:00,10.5
2017-06-05T17:24:00,10.5
2017-06-05T17:34:00,10.5
2017-06-05T17:44:00,10.5
2017-06-05T17:54:00,10.5
2017-06-05T18:04:00,10.5
2017-06-05T18:14:00,10.5
2017-06-05T18:24:00,10.5
2017-06-05T18:34:00,10.5
2017-06-05T18:44:00,10.5
2017-06-05T18:54:00,10.5
2017-06-05T19:04:00,10.5
2017-06-05T19:14:00,10.5
2017-06-05T19:24:00,10.5
2017-06-05T19:34:00,10.5
2017-06-05T19:44:00,10.5
2017-06-05T19:54:00,10.5
2017-06-05T20:04:00,10.5
2017-06-05T20:14:00,10.5
2017-06-05T20:24:00,10.5
2017-06-05T20:34:00,10.5
2017-06-05T20:44:00,10.5
2017-06-05T20:54:00,10.5
2017-06-05T21:04:00,10.5
2017-06-05T21:14:00,10.5
2017-06-05T21:24:00,10.5
2017-06-05T21:34:00,10.5
2017-06-05T21:44:00,10.5
2017-06-05T21:54:00,10.5
2017-06-05T22:04:00,10.5
2017-06-05T22:14:00,10.5
2017-06-05T22:24:00,10.5
2017-06-05T22:34:00,10.5
2017-06-05T22:44:00,10.5
2017-06-05T22:54:00,10.5
2017-06-05T23:04:00,10.5
2017-06-05T23:14:00,10.5
2017-06-05T23:24:00,10.5
2017-06-05T23:34:00,10.5
2017-06-05T23:44:00,10.5
2017-06-05T23:54:00,10.5
2017-06-06T00:04:00,10.5
2017-06-06T00:14:00,10.5
2017-06-06T00:24:00,10.5
2017-06-06T00:34:00,10.5
2017-06-06T00:44:00,10.5
2017-06-06T00:54:00,10.5
2017-06-06T01:04:00,10.5
2017-06-06T01:14:00,10.5
2017-06-06T01:24:00,10.5
2017-06-06T01:34:00,10.5
2017-06-06T01:44:00,10.5
2017-06-06T01:54:00,10.5
2017-06-06T02:04:00,10.5
2017-06-06T02:14:00,10.5
2017-06-06T02:24:00,10.5
2017-06-06T02:34:00,10.5
2017-06-06T02:44:00,10.5
2017-06-06T02:54:00,10.5
2017-06-06T03:04:00,10.5
2017-06-06T03:14:00,10.5
2017-06-06T03:24:00,10.5
2017-06-06T03:34:00,10.5
2017-06-06T03:44:00,10.5
2017-06-06T03:54:00,10.5
2017-06-06T04:04:00,10.5
2017-06-06T04:14:00,10.5
2017-06-06T04:24:00,10.5
2017-06-06T04:34:00,10.5
2017-06-06T04:44:00,10.5
2017-06-06T04:54:00,10.5
2017-06-06T05:04:00,10.5
2017-06-06T05:14:00,10.5
2017-06-06T05:24:00,10.5
